Date,ACGL,AFL,AIG,AIZ,AJG,ALL,AMP,AON,AXP,BAC,BEN,BK,BLK,BRO,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,FDS,FITB,FRC,GL,GS,HBAN,HIG,ICE,IVZ,JPM,KEY,L,LNC,MCO,MET,MKTX,MMC,MS,MSCI,MTB,NDAQ,NTRS,PFG,PGR,PNC,PRU,RE,RF,RJF,SBNY,SCHW,SIVB,SPGI,STT,SYF,TFC,TROW,TRV,USB,WFC,WRB,WTW,ZION
2017-01-26 00:00:00-05:00,29.66666794,35.27999878,66.01999664,98.87999725,53.79000092,75.80999756,114.8799973,112.9499969,76.93000031,23.44000053,40.77000046,44.97000122,379.4200134,21.73999977,57.36000061,133.0599976,77.97000122,37.54000092,70.68000031,69.58000183,120.7399979,89.70999908,69.34999847,173.5399933,27.11000061,95.65000153,74.86000061,239.5800018,14.01000023,48.56999969,58.16999817,30,86.75,18.45000076,47.15000153,69.65000153,104.0699997,49.93761063,180.4100037,68.75,44.02000046,83.51000214,163.6300049,22.94333267,83.94999695,58.56999969,38.04000092,121.6299973,107.3399963,221.8600006,14.69999981,51.43999863,163.25,42.45000076,177.6600037,121.1200027,76.58000183,36.68999863,47.22000122,70.26000214,118.1299973,52.95000076,57.18000031,30.19555664,127.5800018,43.47000122
2017-01-27 00:00:00-05:00,29.65666771,35.13499832,65.20999908,97.87999725,54.61999893,75.58999634,113.4000015,113.3899994,76.84999847,23.36000061,40.31999969,44.77999878,375.0599976,21.62999916,57.11000061,133.3000031,77.83000183,36.99000168,70.62000275,69.11000061,120.3099976,89.15000153,69.05999756,173.4799957,26.76000023,94.81999969,74.55000305,236.9499969,13.77999973,48.93000031,57.88000107,29.51000023,86.93000031,18.29999924,46.70000076,69.30000305,103.9800034,49.5632782,179.8200073,68.84999847,43.65000153,82.76000214,164.0399933,22.78666687,83.68000031,58,38,121.6399994,106.5899963,221.1199951,14.53999996,50.65999985,160.4199982,42.31000137,177.4100037,120.6900024,76,36.63000107,46.97000122,69.38999939,118.0999985,52.99000168,56.59000015,30.13333321,126.4400024,43.11999893
2017-01-30 00:00:00-05:00,29.47333336,35.17499924,64.88999939,96.95999908,53.86999893,75.61000061,113.0599976,112.0699997,77.27999878,22.95000076,40.16999817,44.66999817,375.1799927,21.19499969,56.61000061,131.7100067,77.87000275,36.52999878,70.04000092,68.09999847,120.4400024,88.80999756,69.62999725,172.9400024,26.32999992,94.04000092,74.05000305,233.8999939,13.61999989,48.95999908,57.93999863,29.21999931,86.02999878,18.06999969,46.41999817,68.48999786,103.7600021,48.93048096,181.3399963,68.33999634,43.11999893,83.61000061,163.25,22.7266674,83.15000153,57.74000168,37.49000168,120.3799973,105.5699997,220.4400024,14.44999981,50.37333298,157.2899933,41.83000183,174.75,120.6200027,76.19999695,36.47000122,46.47999954,67.95999908,117.5100021,52.84999847,56.08000183,29.91111183,125.5699997,42.25999832
2017-01-31 00:00:00-05:00,29.45000076,34.99499893,64.26000214,97.12999725,53.83000183,75.20999908,112.2699966,112.6999969,76.37999725,22.63999939,39.74000168,44.72999954,373.980011,21.06500053,55.83000183,131.4900055,79.62000275,36.16999817,70.58000183,67.52999878,121.0800018,87.38999939,69.27999878,173.0500031,26.10000038,94.33000183,73.54000092,229.3200073,13.52999973,48.70999908,58.36000061,28.92000008,84.62999725,17.96999931,46.58000183,67.51000214,103.6699982,48.49375916,187.25,68.01999664,42.49000168,82.75,162.5700073,23.51333237,82.95999908,57.09000015,37.43999863,120.4599991,105.1100006,219.9299927,14.40999985,49.95333481,157.5200043,41.24000168,172.2299957,120.1800003,76.19999695,35.81999969,46.18999863,67.44000244,117.7799988,52.65000153,56.33000183,29.87111092,125.1299973,42.18999863
2017-02-01 00:00:00-05:00,29.68333244,33.56999969,64.26999664,97.36000061,53.43999863,75.23999786,113.0800018,111.1699982,76.76000214,22.88999939,39.99000168,45.02000046,373,20.97500038,56.04999924,128.4799957,78.44999695,36.49000168,70.05999756,68.13999939,120.9000015,87.51000214,68.76999664,172.8999939,26.23999977,93.88999939,73.54000092,230.6699982,13.5,48.43999863,58.34999847,29.59000015,84.94999695,18.04000092,46.20000076,68.91999817,103.5500031,48.41354752,188.1399994,67.41000366,42.70000076,83.75,162.7200012,23.58333206,83.30999756,57.20000076,36.93999863,121.1399994,105.5599976,219.5,14.46000004,50.31999969,156.0500031,41.34000015,172.8099976,119.5699997,76.33999634,36,45.95000076,66.76999664,116.5400009,53.02999878,55.90999985,29.82222176,124.3000031,42.45999908
2017-02-02 00:00:00-05:00,29.97999954,33.91500092,64.12000275,97.33999634,53.95000076,77.40000153,117.9000015,112.4800034,76.51000214,22.71999931,39.90000153,44.79999924,371.6400146,21.12999916,55.97999954,130.7700043,77.94000244,36.04000092,70.65000153,67.26999664,121.2600021,86.33999634,68.05999756,174.5200043,25.94000053,93.5,73.66000366,230.4100037,13.23999977,47.97000122,58.38999939,29.54999924,84.58999634,17.84000015,46.27000046,68.52999878,104.4199982,45.86452866,188.1000061,69.55000305,42.13000107,88.91000366,162.1100006,23.55666733,82.81999969,57.50999832,37.09000015,120.0100021,104.4300003,222.1900024,14.25,49.61999893,154,39.16999817,170.9299927,120.4199982,75.97000122,35.34000015,45.81000137,66.44999695,117.6299973,53.13000107,55.75,30.13333321,125.2399979,41.77000046
2017-02-03 00:00:00-05:00,30.21333313,34.30500031,64.94000244,98.01000214,54.00999832,77.48000336,121.2600021,114.0599976,78.04000092,23.29000092,40.31000137,45.66999817,378,21.26499939,57.75999832,131.2799988,78.13999939,36.79000092,71.43000031,68.48999786,119.9499969,87.91999817,69.36000061,176.1600037,26.52000046,94.98000336,74.25,240.9499969,13.60999966,47.33000183,58.54000092,30.89999962,87.18000031,18.37000084,46.61000061,69.5,106.1699982,46.14081955,191.2700043,70.51999664,44.43000031,91.65000153,163.8899994,23.44666672,84.40000153,59.41999817,37.13000107,122.1600037,106.3300018,221.6100006,14.61999989,50.90000153,157.5599976,40.16999817,178.0500031,122.5999985,77.54000092,36.50999832,46.61000061,67.70999908,117.7799988,53.65999985,57.27000046,30.16444397,125.25,43.31000137
2017-02-06 00:00:00-05:00,30.38666725,34.46500015,64.90000153,97.38999939,54.02000046,78.08000183,123.3700027,114.0800018,77.81999969,23.12000084,39.99000168,45.65999985,377.4200134,21.10499954,57.63999939,131.4299927,77.79000092,36.47000122,70.79000092,68.22000122,119.8099976,87.62000275,69.29000092,175.7599945,26.76000023,94.63999939,74.38999939,239.9799957,13.52999973,47.54999924,58.50999832,30.45999908,86.76999664,18.27000046,46.5,69.08999634,106.7600021,46.23885727,190.2799988,69.91000366,44.63000107,93.06999969,163.4499969,23.24666786,84.55000305,59.47000122,37.00999832,122.4100037,106.1100006,222.1000061,14.63000011,51.04666519,156.7799988,39.74000168,176.0200043,122.8799973,77.31999969,36.45000076,46.43000031,67.33000183,117.6699982,53.40000153,56.54999924,30.20888901,123.6699982,42.97000122
2017-02-07 00:00:00-05:00,30.43333244,34.48500061,64.87999725,97,53.93000031,78.12000275,123.1800003,114.25,77.72000122,22.89999962,40.00999832,45.45000076,376.8900146,21.00499916,57.18999863,130.75,79.19000244,36.59000015,70.43000031,68.25,118.7300034,88.11000061,68.51000214,174.0099945,26.48999977,94.12000275,74.18000031,239.6199951,13.47999954,47.34999847,59.93000031,30.43000031,86.72000122,18.09000015,46.41999817,69.33999634,107.0599976,46.0606041,189.3399963,69.76999664,44.86999893,92.65000153,162.5,23.12000084,84.36000061,59.72000122,37.04000092,121.4700012,106.5899963,227.8500061,14.57999992,51.26666641,155.5800018,39.68000031,176.2400055,125.8399963,77.5,36.04999924,46.38999939,67.55000305,117.7600021,53.20000076,56.34000015,30.23111153,123.4400024,42.81999969
2017-02-08 00:00:00-05:00,30.67000008,34.81999969,64.91000366,90.44999695,54.06000137,77.98999786,121.5800018,114.3600006,77.80000305,22.67000008,39.74000168,45.13999939,374.5599976,20.94499969,56.31999969,130.8300018,76.97000122,35.34999847,70.33999634,67.75,116.5699997,87.54000092,68.16000366,174.1499939,25.88999939,93.25,73.83000183,237.7299957,13.39999962,47.04999924,57.04000092,30.52000046,85.95999908,17.82999992,46.25,68.36000061,106.8199997,45.80213928,187.4700012,70.41000366,43.90999985,92.61000061,162.8000031,22.95999908,84,59.84000015,36.97000122,121.4599991,105.2200012,229.4600067,14.48999977,50.96666718,154.0399933,39.43999863,175.8399963,125.0800018,77.34999847,35.77000046,45.79000092,67.56999969,117.8099976,52.88999939,55.63000107,30.07111168,122.9899979,42.16999817
