Date,AMT,ARE,AVB,BXP,CBRE,CCI,CPT,DLR,EQIX,EQR,ESS,EXR,FRT,HST,IRM,KIM,MAA,O,PEAK,PLD,PSA,REG,SBAC,SPG,UDR,VTR,WELL,WY
2016-06-16 00:00:00-04:00,107.6900024,98.61000061,174.1999969,126.5599976,28.35000038,94.65000153,83.81999969,101.6699982,377.4599915,66.25,217.4700012,87.91000366,158.7700043,16.04000092,38.34999847,29.44000053,102.1699982,63.0523262,31.82149315,50.33000183,244.3300018,79.51999664,100.4599991,206.2100067,34.90000153,69.87999725,73.87000275,28.71999931
2016-06-17 00:00:00-04:00,106.9400024,98.11000061,173.5,126.6900024,28.11000061,94.41000366,82.94999695,102.1100006,374.5799866,65.80999756,218.0399933,87.12000275,157.3200073,16.44000053,38.25,29.32999992,101.6800003,62.13178253,32.04007339,49.86000061,241.3399963,78.98999786,99.69999695,205.8899994,34.86000061,69.80999756,74.25,28.69000053
2016-06-20 00:00:00-04:00,107.4199982,97.91999817,174,126.8499985,29.43000031,94.41000366,83.44000244,102.4000015,373.9100037,65.83999634,218.6399994,87.30000305,156.6699982,16.54999924,38.11000061,29.46999931,101.4800034,61.77325439,31.75774193,49.88999939,240.9499969,79.01999664,102.0800018,206.9600067,34.88000107,69.12000275,73.29000092,29.02000046
2016-06-21 00:00:00-04:00,109.4400024,97.91999817,175.0700073,127.5899963,29.10000038,95.37000275,83.43000031,104.0100021,379.5100098,66,219.8800049,87.31999969,157.0899963,16.64999962,38.22999954,29.65999985,101.7600021,62.33526993,31.88524628,49.97000122,241.1199951,79.12999725,102.6600037,208.4299927,35.18999863,69.87999725,73.43000031,28.57999992
2016-06-22 00:00:00-04:00,109.4000015,98.45999908,174.9499969,128.1699982,29.22999954,95.23999786,84.23000336,104.4700012,379.6499939,66.37000275,220.2200012,87.47000122,157.1399994,16.79999924,38.27000046,29.68000031,101.9700012,62.36434174,31.01092911,50.02999878,240.1300049,78.51999664,102.9000015,208.5899963,35.33000183,68.97000122,72.37000275,28.62000084
2016-06-23 00:00:00-04:00,111.4700012,99.23999786,174.7299957,129.9799957,30.01000023,96.08000183,85.05000305,104.8199997,385.4299927,66.08999634,218.4499969,87.04000092,157.7700043,16.95000076,38.59999847,29.72999954,102.3300018,62.5,31.06557465,50.09000015,241,78.98000336,107.2600021,209.0899963,35.20000076,68.90000153,73.04000092,29.52000046
2016-06-24 00:00:00-04:00,108.2699966,99.36000061,172.5700073,128.0299988,27.30999947,96.44000244,84.48999786,103.5899963,375.9500122,65.5,216.8999939,86.87000275,156.8000031,15.69999981,37.72999954,29.55999947,101.1100006,63.71123886,31.17486382,48.13999939,241.3200073,78.5,103.3099976,206.5,34.75,69.76999664,72.48999786,27.72999954
2016-06-27 00:00:00-04:00,108.8899994,99.12999725,174.9799957,126.5,24.87999916,97.18000031,85.31999969,104.1200027,371.1600037,65.97000122,218.5500031,90.30999756,159.1100006,14.78999996,37.97999954,29.98999977,102.9100037,64.89340973,31.12932587,46.91999817,250.2100067,79,100.9800034,207.9499969,34.84999847,71.01000214,73.36000061,26.77000046
2016-06-28 00:00:00-04:00,110.8000031,99.86000061,177.9100037,128.9299927,25.69000053,99,85.76000214,106.6399994,377.0299988,67.79000092,223.2299957,91.48000336,162.4299927,15.14999962,38.56999969,30.56999969,104.6500015,66.08527374,31.84881592,47.95999908,253.1399994,81.41000366,103.5400009,213.0899963,35.84999847,72.08000183,74.69999695,27.87999916
2016-06-29 00:00:00-04:00,113,101.7900009,178.1499939,131.5,26.5,100.3300018,87.19999695,108.1999969,386.019989,68.01000214,224.5200043,91.36000061,163.9799957,16.04999924,39.54999924,30.92000008,105.3000031,66.33721161,32.21311569,49.11000061,254.0099945,82.90000153,107.4400024,214.9299927,36.41999817,72.05000305,75.51999664,29.22999954
2016-06-30 00:00:00-04:00,113.6100006,103.5199966,180.3899994,131.8999939,26.47999954,101.4300003,88.41999817,108.9899979,387.730011,68.87999725,228.0899963,92.54000092,165.5500031,16.20999908,39.83000183,31.37999916,106.4000015,67.20930481,32.22222137,49.04000092,255.5899963,83.73000336,107.9400024,216.8999939,36.91999817,72.81999969,76.16999817,29.77000046
2016-07-01 00:00:00-04:00,113.5999985,104.2399979,180.7200012,132.0299988,25.93000031,101.1800003,88.80999756,109,386.8800049,69,228.6499939,90.65000153,165.7299957,16.45000076,39.93999863,31.22999954,107.3300018,67.48062134,32.16757584,48.74000168,253.8399963,83.73999786,109.8899994,217.1399994,36.88000107,73.19999695,76.19999695,30.12000084
2016-07-05 00:00:00-04:00,113.8300018,105.0299988,182.9100037,133.4700012,24.54000092,102.5599976,89.83999634,111.2300034,386.1400146,69.77999878,231.2100067,93.25,168.2200012,16.09000015,40.43999863,31.70999908,109.3000031,69.25387573,32.54098511,49.54000092,259.7399902,85.08999634,108.9400024,220.2299957,37.43999863,73.80999756,76.69999695,29.70000076
2016-07-06 00:00:00-04:00,112.4000015,105.3300018,181.8800049,131.4799957,24.75,101.9199982,89.98999786,112.0999985,387.4400024,69.22000122,230.0599976,92.45999908,168.4400024,16.26000023,40,31.51000023,109.6699982,69.00193787,32.35883331,49.36999893,258.1300049,84.5,109.6500015,217.5399933,37.27000046,73.13999939,76.38999939,30.12000084
2016-07-07 00:00:00-04:00,112.1999969,101.2699966,180.8500061,130.0299988,24.62000084,101.5100021,89.75,109.0400009,382.6799927,69.30000305,228.7599945,92.04000092,166.3000031,16.40999985,39.27999878,31.21999931,108.4899979,66.99612427,31.76684952,48.75,253.7799988,83.55000305,110.6200027,215.5899963,36.61000061,72.15000153,74.83999634,30.13999939
2016-07-08 00:00:00-04:00,113.6600037,102.7900009,184.9400024,133.3200073,26.20000076,102.1999969,90.16000366,110.2399979,389.4500122,70.5,231.3300018,93.25,167.8099976,16.76000023,39.84999847,31.54000092,108.0100021,67.74224854,32.73223877,49.54999924,257.3399963,83.95999908,114.4100037,219.5599976,37.09000015,72.62999725,75.62000275,30.67000008
2016-07-11 00:00:00-04:00,114.6699982,103.7300034,184.5500031,134.5299988,26.67000008,100.5400009,90.29000092,109.8499985,388.75,70.76999664,231.3300018,93.66999817,168.1699982,16.98999977,40.31000137,31.71999931,107.8799973,68.33333588,33.27869034,49.90999985,256.5599976,84.16000366,113.3000031,221.7400055,37.16999817,73.19999695,76.19999695,31.23999977
